"SUID","__mclCluster","MAA","name","score","selected","shared name"
"4724","1254","0.0","TBCCD1",,"false","TBCCD1"
"4725","1254","0.0","CETN1",,"false","CETN1"
"4726",,,"SDC3",,"false","SDC3"
"4727","579","0.11250262345640123","ATP6AP2",,"false","ATP6AP2"
"4728","922","0.14667357959141109","TGM1",,"false","TGM1"
"4729","58","0.0","SMPDL3A",,"false","SMPDL3A"
"4730","90","0.029334715918282215","NABP1",,"false","NABP1"
"4731","154","0.0","SAFB",,"false","SAFB"
"4732","923","0.14667357959141109","SDF2L1","0.12","false","SDF2L1"
"4733","923","0.14667357959141109","UEVLD",,"false","UEVLD"
"4734","95","0.0","EXOSC7",,"false","EXOSC7"
"4735","104","0.07660471701544525","RAPGEF6",,"false","RAPGEF6"
"4736","200","0.0","CNOT10",,"false","CNOT10"
"4737","924","0.0","IPO7",,"false","IPO7"
"4738","436","0.0","OR1D2",,"false","OR1D2"
"4739","287","0.0","KLHL24",,"false","KLHL24"
"4740","562","0.0","CD79A",,"false","CD79A"
"4741","43","0.01877440856179321","PKM",,"false","PKM"
"4742","455","0.0","DYNLL2",,"false","DYNLL2"
"4743","654","0.0","ADAM22",,"false","ADAM22"
"4744","114","0.03666839489785277","TMOD1","0.12","false","TMOD1"
"4745","1255","0.0","ADRB1",,"false","ADRB1"
"4746","1255","0.0","MAGI1",,"false","MAGI1"
"4747","14","0.02440713116566497","GLTSCR2",,"false","GLTSCR2"
"4748","1256","0.0","PPP1R7",,"false","PPP1R7"
"4749","7","0.02392177194876699","STAU1",,"false","STAU1"
"4750","1140","0.5","FOXS1",,"false","FOXS1"
"4751","18","0.030021168178117997","RECQL4",,"false","RECQL4"
"4752","193","0.2222222222222222","NAGPA",,"false","NAGPA"
"4753","222","0.05500259234677915","MC1R",,"false","MC1R"
"4754","56","0.0","SCO2",,"false","SCO2"
"4755","489","0.0","POLE",,"false","POLE"
"4756","4","0.060065908503173275","TGDS",,"false","TGDS"
"4757","278","0.14285714285714288","PRICKLE1",,"false","PRICKLE1"
"4758","1257","0.0","NDUFA9",,"false","NDUFA9"
"4759","156","0.05139303592502256","VAV2",,"false","VAV2"
"4760","7","0.02392177194876699","DNAJC8",,"false","DNAJC8"
"4761","925","0.0","RNF31",,"false","RNF31"
"4762","95","0.0","KCNJ12",,"false","KCNJ12"
"4763","884","0.0","SH3GLB1",,"false","SH3GLB1"
"4764","655","0.25","UVRAG",,"false","UVRAG"
"4765","399","0.4","PPM1D",,"false","PPM1D"
"4766","146","0.04410160725496641","TANGO6",,"false","TANGO6"
"4767","368","0.0","ZNF175",,"false","ZNF175"
"4768","100","0.03143005276958809","GAS7",,"false","GAS7"
"4769","711","0.5402650820700974","TNFRSF11B","0.272714418721","false","TNFRSF11B"
"4770","1220","0.0","MMRN1",,"false","MMRN1"
"4771","104","0.07660471701544525","NISCH",,"false","NISCH"
"4772","809","0.0","PPRC1",,"false","PPRC1"
"4773","183","0.16222224987562706","FAM208A",,"false","FAM208A"
"4774","1258","0.0","ERO1A",,"false","ERO1A"
"4775","1258","0.0","PDILT",,"false","PDILT"
"4776","1066","0.0","FREM1",,"false","FREM1"
"4777","479","0.2","TRRAP",,"false","TRRAP"
"4778","222","0.05500259234677915","MRAP",,"false","MRAP"
"4779","331","0.07333678979570554","PLK4",,"false","PLK4"
"4780","1","0.017462756568235437","IFIT1",,"false","IFIT1"
"4781","99","0.1398810281648446","SCRN1",,"false","SCRN1"
"4782","640","0.0","BMP1",,"false","BMP1"
"4783","1","0.017462756568235437","SNRPE",,"false","SNRPE"
"4784","8","0.0","GADD45GIP1",,"false","GADD45GIP1"
