a_alias	b_alias
RUVBL2	RPAP2
TNIK	DHCR7
SAMHD1	PHLDA3
CCNA2	CHAF1A
RARA	SMARCE1
USP11	TCEAL1
CDK4	MMS19
TAF11	GTF2E1
GAPDH	SGK1
AIRE	MSH6
ABL1	SHANK3
ARAP1	TNFRSF10A
ATF2	SSFA2
MT-ND1	NDUFS7
EMD	YWHAB
SMC1A	USP13
HTRA2	NDUFA13
NFKBIE	BAG2
SUPT16H	MCM3
ATN1	ZNF862
ATMIN	ATM
KPNB1	AIRE
G3BP1	EMD
EIF3F	EIF4E2
ZNF263	ZSCAN1
UIMC1	SPATA2
EIF6	DDOST
KMT2D	E2F3
ERCC4	FANCG
XPO1	SAP25
MCAM	UBE2O
PPP2CB	MCC
PDCD6IP	IKBKE
SOD1	HECW1
NFKBIB	KIF18A
SPATA2	SSNA1
KPNB1	PLCD1
RARA	SUMO1
NUDT21	MPG
MBD3	JUN
DAW1	SUMO1
DBF4	MCM4
GNAQ	HTR6
CHTF18	DSCC1
RACGAP1	PLK1
UBE2Q2	TRIM25
CHMP4A	ETS1
EGFR	DEGS1
USP39	SNRNP27
STAM2	CBX5
BANF1	DPY30
TUBB2A	HGS
GRIN2B	TANC1
NTRK1	PTPRC
FYN	DOCK1
EEF1D	HTATSF1
PRLR	CISH
FASLG	RHOA
LMAN1	VHL
ACKR1	CCL7
CDKN1B	UBE2D2
HIST1H3J	TOP2A
GRIN2B	KDM5B
RIPK3	GNB1
MRPS16	PHLDA3
GNAI1	MTNR1B
CHMP3	VTA1
HSPA4	HDAC1
LPAR2	SIVA1
STOML2	MCC
STX1A	ATP4B
PRKAB1	PGD
NCOR1	RBBP7
SNW1	JDP2
YWHAQ	THRA
RPS13	DCC
RAP1B	MCC
PSMD1	IKBKE
AGO2	MTA2
HABP4	PRKCB
VPS45	RAB5A
MMP3	LGALS8
EFS	PLCG1
PRKAB1	ST13
SYNCRIP	LGALS3
TRAF6	UBA2
APP	DLG4
NTRK1	PTPRG
FHL2	SMAD4
VEGFD	NRP1
HDAC2	APPL1
EPOR	NOSIP
SSR1	CANX
TNIK	CTNNB1
IKBKE	PSMA1
GEMIN6	SNRPD1
ACTB	IL7R
PA2G4	MTOR
NKX2-1	FYN
VENTX	IRF9
HDAC1	GATAD2A
BABAM1	RANGAP1
IL3	PIK3CD
MPL	JAK2
PIK3R1	DLGAP2
MYC	MCM3
NRP1	PLXNB1
PIP	SPI1
HSPA4	YY1
CUTA	PINX1
IDH3A	DDA1
MYH9	USP45
ITGA2	FABP3
KHDRBS2	HNRNPUL2
EIF5B	CBL
TRIM28	ZNF496
ELF3	FSCN1
DRD1	HRH3
MCM4	CDT1
IKBKE	PA2G4
VCP	HNF1A
YWHAQ	RPL21
ZNF382	CBX1
AP3B2	ARR3
RRN3	UBTF
EMD	THRA
ANAPC1	ANAPC10
TPRKB	RAD52
RPAP2	INTS1
ZHX2	ZHX1
CAV1	ILK
RBBP7	NKX3-2
ING2	HDAC2
RHOQ	DOCK8
TNFRSF10D	PDCD6IP
H2AFX	PABPC1
IFNGR1	CANX
COPS6	DDA1
FZD8	SUMO1
SMAD2	PPP1R9B
STAP1	PFDN4
SMARCE1	BCL7C
SPTAN1	NFKB1
CA2	SLC4A2
PSMD3	BLM
PRKACA	LIMK1
MYT1	SIN3B
AP1G2	RAB5A
B4GAT1	LARGE2
ILK	XPO7
RHOB	PHGDH
EEF1D	VHL
ARF6	NCLN
POLR2D	MED9
ATP5D	PSMD6
TFE3	ECHS1
EP300	RARA
FBL	TAF9
PTGES3	PINX1
CNTFR	NCK1
WRAP73	PDHB
PIK3R1	FLNB
ARF4	BABAM1
SMAD4	YY1
MMP3	ACAN
DEC1	HDAC2
CSE1L	KPNA1
CAV3	PDGFRA
HSPE1	FTSJ1
SSR4	TSC22D1
RPA1	KIN
HMOX1	PSMD2
ROR2	FZD2
FGFR1OP2	STRN
FYN	FLNA
APLNR	APLN
TMBIM4	OTUD4
NLRC4	PSMC5
MYH9	NCL
PSMB5	TMBIM4
MCL1	MT-RNR2
EMD	HDAC1
ANXA2	IKBKE
PNP	IKBKE
TUBA1A	NFKB2
POLR3H	POLR3G
MDK	TSPAN1
MAPT	PIN1P1
PCNA	USP1
TP53INP2	GABARAPL2
PAGR1	WDR5
SLX4	MSH3
AHSA1	C20orf24
MEOX2	KDM5B
IRS2	SOCS1
TOM1	HGS
ATXN1	STUB1
WRN	ATR
RRBP1	MLH1
KDM5B	BMP2K
GTF2F2	COX6C
ACTG1	LGALS13
HERC5	STK38
TLR10	TLR2
TRAF6	DYNC1H1
HIST1H1C	KPNA7
EIF1B	EIF4H
TARBP1	WDR48
MYCBP	CPNE1
SUV39H2	NCK1
RPL10A	DCC
HDAC2	PARP1
EGFR	PTPRC
PMPCA	MARK2
TIE1	PTPRC
BCL10	COPS5
UBA5	MAP1LC3C
AIRE	SNRPD3
CTSK	COL1A2
MAP3K14	NFKBIA
PRKCD	PIK3CB
DDX41	ABL1
KPNB1	NUP50
STAT5B	CBL
MEP1A	BDKRB1
VOPP1	HMOX2
SNRPG	MEPCE
CUL2	FOS
SOX10	OLIG2
GABARAPL2	DYX1C1
SRRM2	CDK2AP1
SFPQ	SP1
DNAJC11	PTP4A3
HSPG2	CLSTN1
ITIH4	LGALS9
GOPC	CTNNB1
SF3B3	SF3B2
HNRNPK	PRMT3
SMYD2	GEMIN2
KRT18	IFIT2
GABARAPL1	ARHGAP32
TBP	TRAM2
CEBPZ	CBFB
CAPN1	BCL2A1
OLIG2	SOX8
RICTOR	RPS6KB1
CD44	LGALS9
INTS8	INTS1
ARF6	DNAAF5
CIAO1	TROVE2
TAF10	USP22
RUVBL2	C12orf45
DHX9	UBE2I
ITGB1	LYN
MAML2	MAML1
FOS	MARK3
SMN2	RIF1
EIF1B	TBCA
MSH2	WRAP73
MAPRE1	MTUS2
RUVBL1	WWC2
JAK2	HSP90AB1
TAF5	GTF2A1
LIG4	ATR
UPF1	DEK
HIST2H3D	CBX7
RAB7A	TRAF6
PWP1	LYAR
HSPA8	MAP3K8
KPNB1	NUTF2
MAPRE1	CLASP2
STK16	MKKS
NFKBIE	IKBKB
TAGLN2	PSMD6
CDK9	DTYMK
ZFYVE27	RAB11A
MMS19	MCC
SRRM2	SLU7
TNIK	NUDC
EIF3A	TFCP2
HSPA4L	ARF6
YBX1	HIST1H1C
PGRMC1	TRAF6
STMN3	TRPC5
CARM1	HIST1H3J
COPS5	NEDD8
PAXIP1	BLM
PSMA5	SLX1B
SRC	SNX3
PYCARD	PYDC1
HABP4	COIL
USMG5	ADRM1
PAFAH1B2	TRAF6
VPREB3	IGHM
CDK5RAP3	IGHA1
KCTD10	USP25
CCNA1	LARP4B
APLP1	SPON1
CLIC1	IL7R
TUBA1B	CD247
TNFRSF14	GET4
CTCF	SIN3A
DDB1	CDKN1B
QRICH2	MAGEB2
PSMD7	ADRM1
PPIA	UTRN
EIF4A3	OTUB1
EP300	CEBPA
MED25	MED11
PNP	EPB41
DHX9	XRCC5
KDR	P2RY2
EEF1B2	HES4
POLR2J	RPAP2
ADORA2A	ACTN4
GNAI1	GPSM3
UBE2F	PRAME
SMURF2	TNNI2
EIF4EBP1	HSP90AB1
AKT1S1	YWHAB
DYNLRB1	EPB41
NOM1	PNKP
LPA	APOH
ACTR1A	HDAC6
KPTN	TSPAN7
DLD	PSMD4
GABARAP	ARHGAP32
FDXR	POU2F1
DPF2	HDAC1
EPRS	EEF1G
BAG2	PPP2R2B
HNRNPA3	ATG12
MED26	MED4
TUBA1A	LTA
VHL	SMARCC1
KMT2B	NCK1
DSC1	ATG101
EIF6	PSMB1
FAM53C	WNK1
TRAF6	SNU13
MSX2	POU2AF1
WRAP73	MARS
AHSA1	PTP4A3
PLXNA1	PLXNB1
CDS1	MUS81
KDM6A	KMT2C
NEK9	MAP1LC3C
MED15	CREB1
KMT2D	SRRM1
DNAJB1	CFTR
USP44	POLR2G
MFN1	TSC22D1
HCFC1	JUN
CRNKL1	PPIL2
POLDIP2	MAD2L2
BRF2	COPB2
PAX8	TMA16
ARNT	HIF3A
IKBKG	FOS
THAP7	HCFC1
TIMP2	PGRMC1
CCNA1	VHL
SNRNP200	CIAO1
RNF114	UBE2DNL
EP300	CLOCK
COL4A2	KLK6
FASLG	PIN1
NAA10	RPL26
CUL1	PTGS2
ATF4	EIF2A
MOS	BMPR2
GTF2E2	GTF2H1
EEF1B2	DRD3
RTCA	RPL26
ABL1	CELSR3
TAF9B	SS18L1
NSMCE3	NGFR
TNF	TRADD
G3BP1	ITK
RALA	ARF6
CARD18	CARD17
RALBP1	FADD
SOX8	UTF1
MICALL1	PACSIN3
PSMD11	RUNX1T1
