a_alias	b_alias
SRC	PTPRA
NAA15	NAA10
RB1	CCND1
GABRG2	GABARAP
TRIP13	MAD2L1BP
STX4	VAMP2
EXO1	PMS2
TANK	IKBKE
BAD	YWHAB
UBE2B	RAD18
EP300	KAT2B
LSM2	LSM7
BIK	BCL2
YWHAE	MAP3K3
DBP	DDIT3
TOP1	SUMO1
EPRS	KARS
MED14	MED1
POU2AF1	POU2F1
NBN	RAD50
AFF1	MLLT1
RANGAP1	SUMO2
IRS1	PIK3R3
ASF1B	TLK2
VCP	NFKBIA
EIF3C	EIF3A
LSM6	LSM7
ARHGDIA	RHOA
FCGR2A	SYK
CHUK	IKBKB
EZR	MSN
ITCH	NUMB
SUMO1	PIAS1
HSPA8	HSPBP1
SRC	DNM1
GADD45A	CDKN1A
HDAC2	CDYL
JAK1	STAT3
SLC9A3R2	CFTR
RAD23B	XPC
ERCC6	ERCC8
ARHGAP1	RHOA
KHDRBS1	NCK1
KLK2	SERPINA3
SNRPD3	SNRPB
HDAC1	KDM1A
EP300	ETS2
CD47	THBS1
MAP2K4	MAP3K1
CHMP4A	PDCD6IP
CDC16	CDC27
SELPLG	SELP
PRKAA1	PRKAB1
CBX1	CHAF1A
CUL1	CHEK1
NFKBIA	ARRB1
TRAF2	TRADD
ITGA4	ITGB1
ARPC4	ACTR2
IRS1	INSR
SOS1	NCK1
CTNNBIP1	CTNNB1
GADD45A	PCNA
C10orf62	MDFI
RYR1	TRDN
NCOR1	TBL1XR1
COPS8	COPS3
HMGB1	TBP
PSMC1	PSMD2
SRC	CBL
GTF2A2	TBPL1
SMAD3	CREBBP
CHUK	NFKBIA
BTRC	NFKB1
SOCS3	JAK2
DSP	JUP
MAPK8IP1	MAP2K7
TIMP4	MMP2
SNAP25	HGS
SRC	PIK3R1
NEDD8	UBE2M
MAPK8	MAP2K7
PTPN6	EPOR
PCNA	FEN1
CDK4	CDKN1B
PSMD4	PSMC5
CRKL	MAP4K1
NCAPH	SMC2
CFLAR	DEDD
HCFC1	CREB3
PPP4C	PPP4R3B
POLK	REV1
SYTL4	RAB8A
RING1	CBX4
BAP1	HCFC1
FADD	CASP8
RNF2	PCGF2
GAB2	PIK3R1
SKP1	SKP2
MYCN	MAX
PSMB1	PSMB3
EXOSC9	EXOSC2
POLR2H	POLR2A
PSMC1	PSMD6
RFC5	RFC4
BECN1	ATG14
CRKL	STAT5A
PSMB5	PSMA2
SOCS3	TCEB1
ELK1	SRF
PHF21A	KDM1A
WWTR1	YWHAE
RPA2	RPA1
ATF4	DDIT3
BAD	BCL2
CCR8	CCL1
GTF2I	SRF
HDAC2	RB1
LRP6	WNT3A
BLM	MLH1
HRK	BCL2
JAK2	SOCS1
THBD	F2
SMAD2	ZFYVE9
RAB5A	EEA1
TGM2	FN1
E2F1	TFDP2
TLN1	VCL
PTPN6	PIK3R1
PIK3R1	PTPN11
POMC	MC5R
PCNA	CDKN1A
EPHA5	EFNA3
XIAP	RIPK2
