P27658	COL8A1
Q14781	CBX2
Q9Y572	RIPK3
P14635	CCNB1
Q86YC2	PALB2
P07992	ERCC1
P07996	THBS1
P24863	CCNC
P21817	RYR1
O14901	KLF11
P41182	BCL6
Q8TDQ1	CD300LF
P33176	KIF5B
Q9GZQ4	NMUR2
Q86X55	CARM1
Q02763	TEK
Q02094	RHAG
Q9ULX9	MAFF
Q13309	SKP2
Q7Z7C8	TAF8
Q9H2L5	RASSF4
Q96PM5	RCHY1
P07204	THBD
Q86Y82	STX12
O60216	RAD21
Q9NQP4	PFDN4
O94762	RECQL5
P40692	MLH1
P61160	ACTR2
P61163	ACTR1A
P36894	BMPR1A
P36897	TGFBR1
Q12789	GTF3C1
Q9Y2Y4	ZBTB32
Q13415	ORC1
P07339	CTSD
Q9UPV9	TRAK1
P63215	GNG3
P61764	STXBP1
P63218	GNG5
P61769	B2M
P20963	CD247
Q14814	MEF2D
O60925	PFDN1
Q92558	WASF1
P55036	PSMD4
Q96D31	ORAI1
Q15785	TOMM34
Q15788	NCOA1
Q13574	DGKZ
Q7L2H7	EIF3M
Q9BUI4	POLR3C
Q9UJV3	MID2
P62273	RPS29
O00237	RNF103
Q8TD16	BICD2
O00231	PSMD11
O00232	PSMD12
Q5T6F0	DCAF12
O00238	BMPR1B
Q9BQG0	MYBBP1A
P45985	MAP2K4
P45983	MAPK8
O60315	ZEB2
Q9Y2X8	UBE2D4
P50991	CCT4
P50995	ANXA11
Q15257	PTPA
Q96C24	SYTL4
P05114	HMGN1
P07384	CAPN1
P51151	RAB9A
O15287	FANCG
O00303	EIF3F
O14579	COPE
Q13794	PMAIP1
P49841	GSK3B
P49840	GSK3A
P49848	TAF6
P62851	RPS25
P62854	RPS26
Q96CV9	OPTN
Q969N2	PIGT
P51809	VAMP7
O15372	EIF3H
O15371	EIF3D
P01042	KNG1
Q15029	EFTUD2
P60033	CD81
Q9H1D9	POLR3F
O15379	HDAC3
Q15021	NCAPD2
Q15020	SART3
Q15022	SUZ12
Q86V81	ALYREF
P78317	RNF4
P78318	IGBP1
P51911	CNN1
P43119	PTGIR
P04080	CSTB
P53779	MAPK10
P46821	MAP1B
Q9NPY3	CD93
NM_032043	BRIP1
O76096	CST7
Q14318	FKBP8
P62987	UBA52
P04626	ERBB2
O43815	STRN
P08670	VIM
Q5JTV8	TOR1AIP1
P42229	STAT5A
