SUPT3H	TRRAP
H2AFX	SUPT16H
NME2	PPP1R7
FOS	CREB5
LMTK3	ZBTB16
GAPVD1	VAV2
PRPF8	CD2BP2
SF3A2	SRSF6
CSNK2A1	HIRIP3
PRKCD	SHC1
MYC	MAPK1
RMND5A	MAEA
CCT3	SH3BP4
RELB	COMMD1
MET	BAG1
LAP3	VCL
PELO	AIFM1
MSX2	MAGED1
RRAS	MLLT4
FBLN1	VCAN
UBE2G2	MALT1
ZYX	RPH3AL
PSMD13	PSMD2
MFNG	NOTCH1
COG6	COG4
MMP9	COL4A3
UBE2D1	RNF125
CEP95	YWHAE
PSMB6	PSMD6
MACF1	MAPK9
IGF2BP1	SMYD2
TCERG1	SF3B3
LIN9	E2F4
COPS5	MAP2K2
NOS3	ELAVL1
MAPK12	SNTA1
TRAF2	CAD
MARCH3	UBE2D2
TRAF7	UBE2D2
PRKCD	NCF1
APP	APOA1
PSMD11	PSMB4
F10	HIST1H1C
S100Z	S100P
CPNE1	CCDC22
ITGB2	FUT4
TFE3	CLTC
HDAC4	ANKRA2
TOPORS	UBE2D3
SLC35F6	SEC11A
NEB	ACTN4
XIAP	BIRC3
SNRNP70	CTDP1
OPRL1	RGS19
PSMC6	PSMA4
FCN1	MASP1
OSTF1	EXT1
MALT1	UBB
MGEA5	SPAG5
SMAD7	CTNNB1
NEDD4	CAD
TOPORS	UBE2I
HCFC1	HCFC1R1
ATF1	CREM
DEPTOR	MTOR
PRKCA	ARHGEF1
CADPS2	UBE2D4
SRC	DOCK1
DOCK1	SRC
NCOA3	SMARCE1
HSPA8	TRAF3IP1
SRC	FAS
HDAC4	GCM1
DYRK1A	DCAF7
EEF1G	KLHL18
RANBP2	OPN1LW
EP300	BCL6
VBP1	PFDN4
UPF1	GSPT2
PSMA7	PSMB4
CHMP4A	CHMP6
MAP3K14	HSPA5
FCHSD2	CASK
PCNA	EEF1A1
ULK2	GABARAPL2
TRAF6	PSMD2
FTL	MYOC
HDAC1	PTMA
SIRT3	ATP5A1
ADCYAP1	SCTR
CEBPE	CREB5
BRF1	DTNBP1
MAP3K14	RPLP2
SALL1	HDAC1
UBE2L3	TRIM39
PSMB6	PSMD4
PRR13	GPAA1
NCAPG2	TAL1
TNFRSF1A	IPO8
BMPR1B	GDF6
FUCA1	VAV2
PPP2R5A	SHC1
CTNNB1	CASP8
IFNL3	IL10RB
MTNR1A	GNAI2
AP1S1	RAB10
RGS14	GNAO1
IL6ST	PLAUR
AP2M1	STK11
USP8	CHMP1A
TIMM50	TNFRSF1B
CARD11	MALT1
TSR1	PNO1
CCT7	MAP3K3
DSTYK	RAB5C
RNF114	UBE2E1
DNAAF5	TSC22D1
ACTA1	KLHL20
CEP170	VAV2
MAPK1	ATP1A1
CRCP	VAV2
DACT1	HDAC1
TNFSF11	TRAF6
CHUK	TUBB4A
SNAP25	VAMP8
EGFR	GRK2
MRTO4	RSL24D1
MARCH3	UBE2D4
UBE2D1	TRIM27
HDAC4	UBE2I
TAF9	APP
XPC	CHAF1A
HDAC2	THRA
SIAH2	SH3RF1
PTGES3	CASP7
RPS11	RPS20
UBE2D1	TRAF6
TERF2	ORC2
C2orf73	FCHSD2
UBE2D1	TRIM43
NEDD4	THRAP3
GRIP1	GRIA2
APC	CTNNA1
SPTB	DMTN
DNAJA1	NFKB2
RPL23	TAB2
PRKDC	YWHAG
