HGNC ID	Approved Symbol	Status	Previous Symbols	Entrez Gene ID	RefSeq IDs
HGNC:25121	NCBP2-AS2	Approved	-	152217.0	NM_138487
HGNC:31795	NCBP2L	Approved	-	392517.0	XM_373362
HGNC:24612	NCBP3	Approved	C17orf85	55421.0	NM_018553
HGNC:33739	NCCRP1	Approved	-	342897.0	NM_001001414
HGNC:17597	NCDN	Approved	-	23154.0	NM_014284
HGNC:29260	NCEH1	Approved	AADACL1	57552.0	NM_020792
HGNC:7660	NCF1	Approved	-	653361.0	NM_000265
HGNC:32522	NCF1B	Approved	-	654816.0	NR_003186
HGNC:32523	NCF1C	Approved	-	654817.0	NR_003187
HGNC:7661	NCF2	Approved	-	4688.0	NM_000433
HGNC:7662	NCF4	Approved	-	4689.0	NM_000631
HGNC:7664	NCK1	Approved	NCK	4690.0	NM_006153
HGNC:49645	NCK1-AS1	Approved	-	101927597.0	-
HGNC:7665	NCK2	Approved	-	8440.0	NM_003581
HGNC:7666	NCKAP1	Approved	-	10787.0	NM_205842
HGNC:4862	NCKAP1L	Approved	HEM1	3071.0	NM_005337
HGNC:29847	NCKAP5	Approved	-	344148.0	NM_207481
HGNC:41497	NCKAP5-IT1	Approved	-	-	-
HGNC:29321	NCKAP5L	Approved	KIAA1602	57701.0	XM_035497
HGNC:15486	NCKIPSD	Approved	-	51517.0	NM_016453
HGNC:7667	NCL	Approved	-	4691.0	NM_005381
HGNC:26923	NCLN	Approved	-	56926.0	NM_020170
HGNC:35472	NCLP1	Approved	-	100302751.0	NG_012793
HGNC:35473	NCLP2	Approved	-	100379142.0	NG_016573
HGNC:29332	NCMAP	Approved	C1orf130	400746.0	NM_001010980
HGNC:7668	NCOA1	Approved	-	8648.0	NM_147223
HGNC:7669	NCOA2	Approved	-	10499.0	-
HGNC:7670	NCOA3	Approved	-	8202.0	NM_006534
HGNC:7671	NCOA4	Approved	-	8031.0	NM_005437
HGNC:20022	NCOA4P1	Approved	NCOA4P	326605.0	NG_002594
HGNC:15909	NCOA5	Approved	-	57727.0	NM_020967
HGNC:15936	NCOA6	Approved	-	23054.0	NM_014071
HGNC:21081	NCOA7	Approved	-	135112.0	XM_059748
HGNC:40954	NCOA7-AS1	Approved	-	-	-
HGNC:7672	NCOR1	Approved	-	9611.0	NM_006311
HGNC:16724	NCOR1P1	Approved	C20orf191	149934.0	-
HGNC:42997	NCOR1P2	Approved	-	729490.0	-
HGNC:42996	NCOR1P3	Approved	-	-	-
HGNC:7673	NCOR2	Approved	-	9612.0	NM_006312
HGNC:6731	NCR1	Approved	LY94	9437.0	-
HGNC:6732	NCR2	Approved	LY95	9436.0	-
HGNC:19077	NCR3	Approved	LY117	259197.0	-
HGNC:42400	NCR3LG1	Approved	-	374383.0	NM_001202439
HGNC:37153	NCRUPAR	Approved	-	100302746.0	NR_028375
HGNC:3953	NCS1	Approved	FREQ	23413.0	NM_014286
HGNC:17091	NCSTN	Approved	-	23385.0	NM_015331
HGNC:39606	NCSTNP1	Approved	-	-	-
HGNC:25525	NDC1	Approved	TMEM48	55706.0	NM_018087
HGNC:16909	NDC80	Approved	KNTC2	10403.0	NM_006101
HGNC:17619	NDE1	Approved	-	54820.0	NM_017668
HGNC:49115	NDE1P1	Approved	-	100422372.0	-
HGNC:49116	NDE1P2	Approved	-	-	-
HGNC:17620	NDEL1	Approved	-	81565.0	NM_030808
HGNC:17592	NDFIP1	Approved	-	80762.0	NM_030571
HGNC:49866	NDFIP1P1	Approved	-	100420792.0	-
HGNC:18537	NDFIP2	Approved	-	54602.0	-
HGNC:40844	NDFIP2-AS1	Approved	-	-	-
HGNC:7675	NDN	Approved	-	4692.0	NM_002487
HGNC:26256	NDNF	Approved	C4orf31	79625.0	NM_024574
HGNC:29838	NDOR1	Approved	-	27158.0	NM_014434
HGNC:7678	NDP	Approved	EVR2	4693.0	NM_000266
HGNC:40395	NDP-AS1	Approved	-	-	-
HGNC:7679	NDRG1	Approved	CAP43	10397.0	-
HGNC:14460	NDRG2	Approved	-	57447.0	-
HGNC:14462	NDRG3	Approved	-	57446.0	-
HGNC:14466	NDRG4	Approved	-	65009.0	-
HGNC:7680	NDST1	Approved	HSST	3340.0	NM_001543
HGNC:7681	NDST2	Approved	-	8509.0	NM_003635
HGNC:7682	NDST3	Approved	-	9348.0	NM_004784
HGNC:20779	NDST4	Approved	-	64579.0	NM_022569
HGNC:7683	NDUFA1	Approved	-	4694.0	NM_004541
HGNC:7685	NDUFA2	Approved	-	4695.0	NM_002488
HGNC:7686	NDUFA3	Approved	-	4696.0	NM_004542
HGNC:45043	NDUFA3P1	Approved	-	100131388.0	NG_030059
HGNC:45051	NDUFA3P2	Approved	-	-	-
HGNC:45052	NDUFA3P3	Approved	-	644482.0	NG_030212
HGNC:45053	NDUFA3P4	Approved	-	-	-
HGNC:45054	NDUFA3P5	Approved	-	-	-
HGNC:45055	NDUFA3P6	Approved	-	-	-
HGNC:7687	NDUFA4	Approved	-	4697.0	NM_002489
HGNC:29836	NDUFA4L2	Approved	-	56901.0	NM_020142
HGNC:29835	NDUFA4P1	Approved	-	360165.0	NG_002998
HGNC:31362	NDUFA4P2	Approved	NDUFA4L	100287880.0	-
HGNC:7688	NDUFA5	Approved	-	4698.0	NM_005000
HGNC:7689	NDUFA5P1	Approved	-	4699.0	-
HGNC:48855	NDUFA5P2	Approved	-	-	-
HGNC:48845	NDUFA5P3	Approved	-	100288035.0	-
HGNC:48846	NDUFA5P4	Approved	-	100128136.0	-
HGNC:48847	NDUFA5P5	Approved	-	100130327.0	-
HGNC:48848	NDUFA5P6	Approved	-	100288339.0	-
HGNC:48849	NDUFA5P7	Approved	-	-	-
HGNC:48850	NDUFA5P8	Approved	-	-	-
HGNC:48851	NDUFA5P9	Approved	-	100289579.0	-
HGNC:48852	NDUFA5P10	Approved	-	-	-
HGNC:48853	NDUFA5P11	Approved	-	-	-
HGNC:48854	NDUFA5P12	Approved	-	100288013.0	-
HGNC:7690	NDUFA6	Approved	-	4700.0	NM_002490
HGNC:45273	NDUFA6-AS1	Approved	-	100132273.0	NR_034118
HGNC:7691	NDUFA7	Approved	-	4701.0	NM_005001
HGNC:7692	NDUFA8	Approved	-	4702.0	NM_014222
HGNC:52264	NDUFA8P1	Approved	-	-	-
HGNC:7693	NDUFA9	Approved	NDUFS2L	4704.0	NM_005002
HGNC:19252	NDUFA9P1	Approved	-	266625.0	NG_002366
HGNC:7684	NDUFA10	Approved	-	4705.0	NM_004544
HGNC:20371	NDUFA11	Approved	-	126328.0	NM_175614
HGNC:23987	NDUFA12	Approved	-	55967.0	NM_018838
HGNC:39419	NDUFA12P1	Approved	-	100527945.0	NG_027984
HGNC:17194	NDUFA13	Approved	-	51079.0	NM_015965
HGNC:7694	NDUFAB1	Approved	-	4706.0	NM_005003
HGNC:52265	NDUFAB1P1	Approved	-	-	-
HGNC:18828	NDUFAF1	Approved	-	51103.0	NM_016013
HGNC:28086	NDUFAF2	Approved	NDUFA12L	91942.0	NM_174889
HGNC:29918	NDUFAF3	Approved	C3orf60	25915.0	NM_199069
HGNC:21034	NDUFAF4	Approved	C6orf66	29078.0	NM_014165
HGNC:44194	NDUFAF4P1	Approved	-	100306975.0	NR_036507
HGNC:44541	NDUFAF4P2	Approved	-	402676.0	-
HGNC:44542	NDUFAF4P3	Approved	-	100422532.0	-
HGNC:44543	NDUFAF4P4	Approved	-	100128889.0	-
HGNC:15899	NDUFAF5	Approved	C20orf7	79133.0	NM_001039375
HGNC:28625	NDUFAF6	Approved	C8orf38	137682.0	NM_152416
HGNC:28816	NDUFAF7	Approved	C2orf56	55471.0	NM_144736
HGNC:7695	NDUFB1	Approved	-	4707.0	NM_004545
HGNC:30893	NDUFB1P1	Approved	NDUFB1P	100190952.0	NG_008709
HGNC:37815	NDUFB1P2	Approved	-	100380272.0	NG_016728
HGNC:7697	NDUFB2	Approved	-	4708.0	NM_004546
HGNC:40396	NDUFB2-AS1	Approved	-	100134713.0	NR_024454
HGNC:52266	NDUFB2P1	Approved	-	-	-
HGNC:7698	NDUFB3	Approved	-	4709.0	NM_002491
HGNC:13673	NDUFB3P1	Approved	-	93993.0	NG_000954
HGNC:13674	NDUFB3P2	Approved	-	93994.0	-
HGNC:13675	NDUFB3P3	Approved	-	93996.0	-
HGNC:13676	NDUFB3P4	Approved	-	93995.0	-
HGNC:13677	NDUFB3P5	Approved	-	93997.0	NG_000958
HGNC:7699	NDUFB4	Approved	-	4710.0	NM_004547
HGNC:45248	NDUFB4P1	Approved	-	100288654.0	NG_030111
HGNC:45250	NDUFB4P2	Approved	-	100132036.0	-
HGNC:45251	NDUFB4P3	Approved	-	100288420.0	NG_030100
HGNC:45252	NDUFB4P4	Approved	-	-	-
HGNC:45253	NDUFB4P5	Approved	-	-	-
HGNC:45254	NDUFB4P6	Approved	-	-	-
HGNC:45255	NDUFB4P7	Approved	-	-	-
HGNC:45256	NDUFB4P8	Approved	-	-	-
HGNC:45257	NDUFB4P9	Approved	-	-	-
HGNC:45258	NDUFB4P10	Approved	-	-	-
HGNC:45259	NDUFB4P11	Approved	-	-	-
HGNC:45260	NDUFB4P12	Approved	-	402175.0	NG_030266
HGNC:7700	NDUFB5	Approved	-	4711.0	NM_002492
HGNC:52267	NDUFB5P1	Approved	-	100288337.0	NG_022040
HGNC:52268	NDUFB5P2	Approved	-	100422431.0	NG_026737
HGNC:7701	NDUFB6	Approved	-	4712.0	NM_002493
HGNC:7702	NDUFB7	Approved	-	4713.0	NM_004146
HGNC:7703	NDUFB8	Approved	-	4714.0	NM_005004
HGNC:20023	NDUFB8P1	Approved	-	326606.0	NG_002595
HGNC:33978	NDUFB8P2	Approved	-	729565.0	XR_015999
HGNC:33979	NDUFB8P3	Approved	-	100132286.0	-
HGNC:7704	NDUFB9	Approved	-	4715.0	NM_005005
HGNC:52269	NDUFB9P1	Approved	-	-	-
HGNC:52270	NDUFB9P2	Approved	-	100128596.0	NG_030054
HGNC:52271	NDUFB9P3	Approved	-	100129370.0	NG_022402
HGNC:7696	NDUFB10	Approved	-	4716.0	NM_004548
HGNC:52272	NDUFB10P1	Approved	-	100128711.0	NG_022109
HGNC:52273	NDUFB10P2	Approved	-	-	-
HGNC:20372	NDUFB11	Approved	-	54539.0	NM_019056
HGNC:33980	NDUFB11P1	Approved	NDUFB11P	390239.0	NG_009688
HGNC:7705	NDUFC1	Approved	-	4717.0	NM_002494
HGNC:7706	NDUFC2	Approved	-	4718.0	NM_004549
HGNC:42956	NDUFC2-KCTD14	Approved	-	100532726.0	-
HGNC:7707	NDUFS1	Approved	-	4719.0	NM_005006
HGNC:7708	NDUFS2	Approved	-	4720.0	NM_004550
HGNC:7710	NDUFS3	Approved	-	4722.0	NM_004551
HGNC:7711	NDUFS4	Approved	-	4724.0	NM_002495
HGNC:7712	NDUFS5	Approved	-	4725.0	NM_004552
HGNC:44039	NDUFS5P1	Approved	-	-	-
HGNC:44040	NDUFS5P2	Approved	-	100286918.0	-
HGNC:44041	NDUFS5P3	Approved	-	100288149.0	-
HGNC:44042	NDUFS5P4	Approved	-	100287817.0	-
HGNC:44043	NDUFS5P5	Approved	-	100128177.0	-
HGNC:44044	NDUFS5P6	Approved	-	-	-
HGNC:44045	NDUFS5P7	Approved	-	100130794.0	-
HGNC:7713	NDUFS6	Approved	-	4726.0	NM_004553
HGNC:52274	NDUFS6P1	Approved	-	-	-
HGNC:7714	NDUFS7	Approved	-	374291.0	NM_024407
HGNC:7715	NDUFS8	Approved	-	4728.0	NM_002496
HGNC:7716	NDUFV1	Approved	-	4723.0	NM_007103
HGNC:7717	NDUFV2	Approved	-	4729.0	NM_021074
HGNC:50826	NDUFV2-AS1	Approved	-	101927275.0	-
HGNC:7718	NDUFV2P1	Approved	-	4730.0	-
HGNC:7719	NDUFV3	Approved	-	4731.0	-
