rank	cluster	candidates
259	25	H2AFY2,UFC1,PPIL3,ZNF8,CBX5,ZFYVE19,AHCYL1,ZNF620,ZFP1,ZNF585A,ZNF585B,ZNF552,ZNF649,BCL7A,ZNF324,ZNF45,ZNF689,ZNF227,ORC3,ZNF324B,VPS4B,ZFP82,ZNF518A,UNK,USP34,SSSCA1,ADNP2,ZNF264,ZNF460,SRXN1,HIST3H2A
260	20	CCDC97,EVI5L,DBF4B,MPP3,TRUB1,NCBP3,DNAJB7,SNRNP35,ADAP1,SDR42E1,FOXN3,ATAT1,MTRF1,HMCES,MCOLN3,TDP2,NPM2,LRRN4CL,TAF7L,TRIM41,RPL39L,ADGRG5,C4orf46,STON1,ZBTB48,OR5A1
261	19	DDIAS,UBE2J1,MSH4,UBXN10,HIP1R,RPL22L1,GNL1,THSD7A,NMD3,HAUS1,HSD17B8,HSBP1,GPS2,ZNF80,CDC42EP1,HOOK1,EVX1,NCAPD2,WDR43,OR1E2,CCDC7,EDEM1,SERPINB1,ALDOC,HS1BP3,USP53,STX10,PPP1R15B,MRTO4,TBC1D10B,H2AFJ
262	2	BAG2,FBXO18,TRIM17,ASB17,FBXO10,RGS11,HIPK4,ZNF74,ASB2,ASB3,GRK7,GRK4,STYK1,HLA-DRB3,CAMK2G,MAP4K2,KRT27,CAMKV,KLHL6,BAMBI,TESK2,FBXL8,FBXL2,KAT5,FBXO3,MYO3B,ACVR1C,KCNG1,NUAK2,DCLK2,SPSB3,NEK11,KBTBD4,TADA2A,FBXL13,FBXL14,WSB2,FBXL18,KSR2,KLHL36,KLHL34,CDK11A,GTF2IRD2,MAPK4,KLHL38,TRIM49,TNK1,MOS,IBTK,FBXO34,TRIM7,HERC4,KLHL25,ZNF215,ISX,DYRK4,KCNA6,FBXO9,VPS41,SKP1,FBXO27,FBXO25,TCF25,AREL1,KLHL13,TSSK3,RPS6KL1,GSG2,MYLK4,BBX,DET1,NFRKB,SRPK3,SGK3,SGK2,G2E3,EIF2AK1,PREB,CXXC1,C18orf8,DMRTA1,TRIM74,TRIM73,MAP4K4,LIMK2,KCTD8,IRS4,C20orf194,SH3RF2,PRKY,CDK18,MAP2K4,GPKOW,CDK15,KCNS3,ZC3H7B,MINK1,FOXD4L6,POGK,THAP4,TFDP3,PDK1,MAP3K12,MAP3K15,ZBTB49,PSKH2
263	18	ACP1,MLEC,IKBKE,DAD1,PGRMC2,NAA20,ACOT13,RANBP6,PSMC6,CCDC58,PITPNB,NASP,DDT,DSTN,NREP,TPD52L2,CKMT1B,UBE2K,DIS3,BTF3,GLOD4,CSTF3,EMC3,ACTR6,UQCC2
264	15	GPR12,PPP1R27,PPP1R21,ZFYVE1,TMEM132C,PREX2,MYBPH,GPATCH2,DDX31,ZCCHC9,ZSWIM3,SPOCD1,TMEM225,KIAA0430,SH2D4A,TSKS,RIMBP2,KCNK10,PPP1R36,CEP192,PCIF1,ELFN1,ELFN2,LMTK3,PPP1CA,LMO3,PPP1R35,RBM26,TRPC4AP
265	13	RRP1,UTP4,RRP8,PRPF4B,RRP7A,DIEXF,REXO4,MPHOSPH10,ZBTB11,NUP107,NUP43,RRS1,PELO,SENP3,ZNF512,UTP18,NOLC1,UTP15,NUP160,NUP85,TBL3,PWP2,PCDHA2,DDX21,DDX27,AQR,NOC3L,NUP37,WDR18,PHF3
266	12	ZNF217,SUDS3,RCOR2,EID2B,NKX2-2,ZNF395,MKX,DNTTIP1,SAP30,SIX4,DDX53,ESCO1,C16orf87,GTF2B,ELMSAN1,ZNF516,SMYD1,TAF6,ING2,ABTB1,KCTD11,PAAF1,NUP54,PARP14,PRDM4,MBD3L1,NR2E1,ZNF461
267	10	MDN1,ENOX2,CDX1,SCYL2,TEX10,SMCR8,FRYL,NOP14,RNGTT,SAMD4B,MMS19,WDR41,FMNL3,ZNF609,TYW1,QSOX2,ZNF318,NARFL,CUL9,DUSP9,CTU1,YAE1D1,QSER1,ZBTB5,TSHZ3,GID8,JADE2,PAPD4,LSM3,RMND5A,RMND5B,ARID3A,GEMIN8,GATAD2A,NUP35,RBMXL3,APOBEC3C,BOD1L1,ARF3,TOP3B,ELP6,ELP5,ELP3,MAK16,SLFN5
268	1	CCDC146,KCTD6,SUPT5H,FAM114A1,MEI1,PPP2R2D,SRP14,FXR1,STRBP,ENC1,NYAP1,RPS27L,RPS25,GPRASP2,RPL7A,BCDIN3D,TIMM13,FBXL17,ARIH2OS,HNRNPCL1,PYM1,SNRPB2,DCUN1D3,GFPT2,DCUN1D5,RPL24,KLHL26,KLHL21,KLHL20,KLHL22,KLHL28,AKAP11,SART1,NEDD8,STRIP1,PHAX,ARF4,DYNC1LI1,RIF1,PRND,MOB4,RIOK2,ATP1A4,CMTR1,TTC7B,C20orf196,EIF2S3,DDX18,DYNLRB1,RNMT,CBWD2,POLRMT,LRRC2,RGSL1,HAP1,FN3KRP,RBMX,NAP1L2,LRRC42,EIF3K,ASB4,EIF3D,MTMR9,KNDC1,UTP14A,SNU13,SEC24C,NTPCR,PLEKHA4,ZNF699,TEFM,DDX50,MPHOSPH6,STK25,FAM103A1,RPL7L1,KRT76,RFC5,RPLP2,RPLP1,RPLP0,KRT78,RFC3,ZBTB10,SNRPA1,CYB5D1,FBXW2,KLHL12,KLHL15,KLHL17,KLHL18,HNRNPA0,RPL10A,RPL10L,XAB2,POLA1,USP43,MRPS15,NOP58,OGFR,VASN,PM20D2,DDX23,TOE1,DDX24,RHOH,RBM4B,NARS,PRPF39,TFB2M,ZNF570,KLHDC10,IARS,SLC25A5,GPATCH1,DNAJA2,SNRPD1,KPNA6,KDELC1,EIF5B,SRSF6,USP44,PDPR,RPS3A,PJA2,ATG10,RPP25L,RSL1D1,C19orf70,UBE2M,MRPS21,STRN,ASPRV1,PHF5A,RPS12,RPL18A,RPS5,RHOT2,TP53RK,RPS9,SIK2,AKAP8L,RPS27,RPS23,WBP11,NUP50,CKMT2,PBDC1,PPP1R15A,FARSB,TMTC2,PPIH,CLCC1,CEMIP,RPL29,RPL27,NAP1L4,RPL13A,RPL23,RPL22,FBXO30,MAD2L1BP,IK,GTPBP1,PCDHA4,PURB,ZRANB1,ZRANB3,BORA,NOSIP,C19orf43,EIF1AY,CEP126,SEPT10,EIF3CL,VWA7,KRT24,KLHL8,KLHL9,KCTD13,KCTD10,FBXL3,KCTD18,BRMS1,PSG9,RPL8,RPL7,RPL4,CCDC68,KLHDC2,KBTBD2,KBTBD8,LANCL1,CTNNBL1,TTC5,DCUN1D1,DCUN1D2,ANKRD24,IFIT1B,MTFR2,TPRKB,RBM22,BTBD8,BUD31,AGO4,NRBP1,BTBD2,EFCC1,CCDC106,MRPS34,RPL9,TRMT6,NIFK,HIST1H1D,HNRNPUL2,YTHDC2,SMU1,RPS13,KCTD2,RPS11,RPS16,AAR2,RPS18,CRCT1,NDUFA5,HIST1H2AD,HSPBP1,TSR1,CPNE7,LAMB4,TRMT10C,LDHD,KCTD20,KCTD21,CLTCL1,SNRPA,SNRPG,RPL26L1,RPL38,RPL36,RPL35,RPL32,RPL30
269	9	SERF1B,HMGN3,DNAJC8,ZRANB2,MKNK2,SRSF4,NOVA1,SRSF12,C16orf78,FBXO15,ARGLU1,LARP1,MAPKAPK5,ADPRH,NSRP1,OR6B3,DUS1L,C11orf87,C18orf25,DAW1,YPEL3,YPEL2,TULP2,EPHA3,SRSF8,CDKL3,TAF1B,SPAG11B,NOL4L,RIMS4,FGF12,MBNL3,CSAG1,METTL14,SPANXN4,MRPL43,C6orf201,OCEL1,CDC42EP3,ARL6IP4,ZNF514,POLR2E,RSRP1,SCAF11,C11orf52,KIAA1841,NSMCE4A,PHF7,SRPK1,CLK1,ZNF444,FAM76B,WDR55,EMILIN1,TAAR8,DDX47,TRA2B,ARHGAP12,RBM23,YTHDC1,LINC00312,C11orf63
270	5	RPN1,SCFD2,C17orf75,MOCS3,ZNF709,ASB7,MPP5,CCDC93,CEMP1,MTMR6,NOL11,MTMR1,IFT52,ZKSCAN1,RNF185,XRN2,USP17L1,HRNR,HAUS3,XPOT,KCMF1,HERC1,HIST1H2BL,TRIM47,GBAS,CCDC138,ERMP1,SNAP47,TRIM4,NBPF3,TMEM86A,BRIX1,PGBD5,PABPC1L,GUF1,FBXO45,ZNF326,NUDT13,NUDT19,DCAF13,ARID5A,METTL3,AIMP2,CORO1B,ZNF14,CCDC71,RFTN1,DHRS7B,APMAP,ZNF543,TPP2,MAST1,IER5,IER2,MAGEF1
