Gene	Count
STX10	0
PPP1R15B	4
MRTO4	1
TBC1D10B	0
H2AFJ	2
BAG2	16
FBXO18	9
TRIM17	3
ASB17	0
FBXO10	8
RGS11	2
HIPK4	1
ZNF74	3
ASB2	11
ASB3	3
GRK7	3
GRK4	12
STYK1	13
HLA-DRB3	40
CAMK2G	8
MAP4K2	5
KRT27	0
CAMKV	0
KLHL6	9
BAMBI	56
TESK2	1
FBXL8	1
FBXL2	5
KAT5	113
FBXO3	3
MYO3B	2
ACVR1C	22
KCNG1	0
NUAK2	15
DCLK2	0
SPSB3	1
NEK11	5
KBTBD4	0
TADA2A	3
FBXL13	1
FBXL14	5
WSB2	1
FBXL18	0
KSR2	16
KLHL36	0
KLHL34	2
CDK11A	25
GTF2IRD2	0
MAPK4	12
KLHL38	0
TRIM49	0
TNK1	11
MOS	1244
IBTK	3
FBXO34	0
TRIM7	2
HERC4	6
KLHL25	1
ZNF215	1
ISX	7
DYRK4	1
KCNA6	5
FBXO9	2
VPS41	7
SKP1	312
FBXO27	0
FBXO25	3
TCF25	2
AREL1	0
KLHL13	0
TSSK3	0
RPS6KL1	1
GSG2	8
MYLK4	1
BBX	7
DET1	5
NFRKB	8
SRPK3	1
SGK3	19
SGK2	7
G2E3	2
EIF2AK1	2
PREB	79
CXXC1	9
C18orf8	1
DMRTA1	4
TRIM74	0
TRIM73	0
MAP4K4	46
LIMK2	37
KCTD8	1
IRS4	21
C20orf194	0
SH3RF2	1
PRKY	5
CDK18	1
MAP2K4	173
GPKOW	0
CDK15	2
KCNS3	1
ZC3H7B	4
MINK1	9
FOXD4L6	0
POGK	0
THAP4	0
TFDP3	5
PDK1	516
MAP3K12	4
MAP3K15	0
ZBTB49	1
PSKH2	0
ACP1	37
MLEC	8
IKBKE	325
DAD1	24
PGRMC2	9
NAA20	1
ACOT13	1
RANBP6	1
PSMC6	0
CCDC58	1
PITPNB	4
NASP	15
DDT	725
DSTN	12
NREP	6
TPD52L2	17
CKMT1B	1
UBE2K	3
DIS3	33
BTF3	19
GLOD4	1
CSTF3	1
EMC3	0
ACTR6	0
UQCC2	0
GPR12	4
PPP1R27	0
PPP1R21	1
ZFYVE1	7
TMEM132C	1
PREX2	27
MYBPH	3
GPATCH2	2
DDX31	2
ZCCHC9	0
ZSWIM3	0
SPOCD1	1
TMEM225	0
KIAA0430	0
SH2D4A	4
TSKS	1
RIMBP2	0
KCNK10	1
PPP1R36	0
CEP192	17
PCIF1	3
ELFN1	1
ELFN2	1
LMTK3	26
PPP1CA	17
LMO3	15
PPP1R35	0
RBM26	1
TRPC4AP	3
RRP1	7
UTP4	0
RRP8	0
PRPF4B	6
RRP7A	0
DIEXF	0
REXO4	1
MPHOSPH10	1
ZBTB11	1
NUP107	13
NUP43	0
RRS1	0
PELO	30
SENP3	13
ZNF512	1
UTP18	2
NOLC1	11
UTP15	0
NUP160	3
NUP85	1
TBL3	2
PWP2	2
PCDHA2	1
DDX21	8
DDX27	3
AQR	5
NOC3L	3
NUP37	2
WDR18	1
PHF3	6
ZNF217	113
SUDS3	1
RCOR2	5
EID2B	0
NKX2-2	58
ZNF395	7
MKX	0
DNTTIP1	0
SAP30	12
SIX4	5
DDX53	19
ESCO1	11
C16orf87	0
GTF2B	4
ELMSAN1	0
ZNF516	2
SMYD1	6
TAF6	16
ING2	57
ABTB1	6
KCTD11	16
PAAF1	1
NUP54	1
PARP14	15
PRDM4	3
MBD3L1	2
NR2E1	28
ZNF461	1
MDN1	1
ENOX2	22
CDX1	134
SCYL2	1
TEX10	2
SMCR8	0
FRYL	2
NOP14	4
RNGTT	5
SAMD4B	0
MMS19	12
WDR41	0
FMNL3	11
ZNF609	0
TYW1	0
QSOX2	1
ZNF318	0
NARFL	1
CUL9	5
DUSP9	14
CTU1	0
YAE1D1	1
QSER1	0
ZBTB5	3
TSHZ3	4
GID8	0
JADE2	0
PAPD4	3
LSM3	2
RMND5A	1
RMND5B	0
ARID3A	36
GEMIN8	0
GATAD2A	2
NUP35	0
RBMXL3	0
APOBEC3C	18
BOD1L1	0
ARF3	13
TOP3B	6
ELP6	3
ELP5	3
ELP3	25
MAK16	0
SLFN5	6
CCDC146	0
KCTD6	1
SUPT5H	10
FAM114A1	1
MEI1	1
PPP2R2D	6
SRP14	0
FXR1	24
STRBP	0
ENC1	10
NYAP1	1
RPS27L	7
RPS25	9
GPRASP2	2
RPL7A	20
BCDIN3D	3
TIMM13	2
FBXL17	3
ARIH2OS	0
HNRNPCL1	1
PYM1	0
SNRPB2	1
DCUN1D3	2
GFPT2	4
DCUN1D5	3
RPL24	6
KLHL26	1
KLHL21	0
KLHL20	11
KLHL22	1
KLHL28	0
AKAP11	4
