"SUID","__APCluster","name","PRWP","score","selected","shared name"
"7943","1","TRIM74","2.0929171549380665E226",,"false","TRIM74"
"7950","122","AP4E1","1.5835631599505404E223","0.12","false","AP4E1"
"7956","11","ATP6V1B1","3.808875722041067E224","0.36","false","ATP6V1B1"
"7958","1","PCED1A","2.0929171549380665E226",,"false","PCED1A"
"7962","1","AMY1A","2.0929171549380665E226",,"false","AMY1A"
"7963","1","CDK2AP1","2.0929171549380665E226","0.12","false","CDK2AP1"
"7965","170","MMP14","5.298310641616246E223","0.12","false","MMP14"
"7967","1","EXOC6","2.0929171549380665E226",,"false","EXOC6"
"7968","1","MYO5A","2.0929171549380665E226","0.2","false","MYO5A"
"7971","70","MOV10","8.765406799155837E223","0.122638473850682","false","MOV10"
"7974","14","NUDC","3.3912488706651116E224",,"false","NUDC"
"7978","393","BSN","7.917815799752702E222","0.12","false","BSN"
"7982","1","DLG2","2.0929171549380665E226","0.122367031978602","false","DLG2"
"7984","1","BEGAIN","2.0929171549380665E226",,"false","BEGAIN"
"7986","1","PRLR","2.0929171549380665E226","0.36","false","PRLR"
"7989","1","AGO3","2.0929171549380665E226",,"false","AGO3"
"7993","1","PARK7","2.0929171549380665E226","0.12","false","PARK7"
"7996","1","KRT10","2.0929171549380665E226","0.241085767488321","false","KRT10"
"8002","52","ASB1","3.1689173421873056E223","0.12","false","ASB1"
"8005","1","SH3D19","2.0929171549380665E226",,"false","SH3D19"
"8010","12","RBM4B","5.549076750573934E224",,"false","RBM4B"
"8015","6","LMO4","5.247956312374522E224",,"false","LMO4"
"8017","13","ARHGEF5","4.514873988401246E224","0.12","false","ARHGEF5"
"8019","1","SETD2","2.0929171549380665E226","0.12027144187208","false","SETD2"
"8022","1","BRD2","2.0929171549380665E226","0.12","false","BRD2"
"8024","1","EPS8L2","2.0929171549380665E226",,"false","EPS8L2"
"8033","24","TRIM9","2.91576249456596E224","0.12","false","TRIM9"
"8036","17","SCIN","5.289561091087507E224",,"false","SCIN"
"8040","20","SART1","2.0522470504721107E224",,"false","SART1"
"8043","1","AMOTL1","2.0929171549380665E226",,"false","AMOTL1"
"8045","1","TNFSF14","2.0929171549380665E226","0.242638473850682","false","TNFSF14"
"8046","581","LTB","0.0",,"false","LTB"
"8048","51","CSN1S1","3.958907899876351E223",,"false","CSN1S1"
"8051","33","BLOC1S3","7.928561933470062E223","0.2","false","BLOC1S3"
"8052","1","SNAPIN","2.0929171549380665E226",,"false","SNAPIN"
"8054","275","AP3S2","2.394544887163845E223","0.242909915722763","false","AP3S2"
"8056","51","RASSF3","3.958907899876351E223",,"false","RASSF3"
"8060","196","PTPRT","7.917815799752702E222",,"false","PTPRT"
"8064","1","CFD","2.0929171549380665E226","0.24027144187208","false","CFD"
"8070","21","LRMP","2.775792258181458E224",,"false","LRMP"
"8074","1","CUL4B","2.0929171549380665E226","0.48027144187208","false","CUL4B"
"8075","1","DCUN1D3","2.0929171549380665E226",,"false","DCUN1D3"
"8078","15","IL17RB","3.6773204396268122E224",,"false","IL17RB"
"8080","138","SETD5","2.3753447399258106E223","0.24","false","SETD5"
"8083","140","TXLNG","4.5082545539612524E223",,"false","TXLNG"
"8085","45","TNS2","7.956216094228771E223",,"false","TNS2"
"8087","1","ASAP2","2.0929171549380665E226",,"false","ASAP2"
"8091","23","CD14","2.6167693531570435E224","0.122638473850682","false","CD14"
"8095","181","PEX2","2.9031991265759906E223","0.2","false","PEX2"
"8097","1","ARL5A","2.0929171549380665E226",,"false","ARL5A"
"8100","1","SMURF2","2.0929171549380665E226",,"false","SMURF2"
"8106","1","VPS35","2.0929171549380665E226","0.32","false","VPS35"
"8110","1","TCN2","2.0929171549380665E226","0.36027144187208","false","TCN2"
"8113","13","PPFIBP1","4.514873988401246E224","0.12","false","PPFIBP1"
"8118","1","CROT","2.0929171549380665E226",,"false","CROT"
"8126","58","MTCH1","8.783291413327087E223",,"false","MTCH1"
"8130","1","ITGAL","2.0929171549380665E226","0.12","false","ITGAL"
"8132","1","NLRP4","2.0929171549380665E226",,"false","NLRP4"
"8137","1","RHOBTB3","2.0929171549380665E226",,"false","RHOBTB3"
"8138","140","PLIN3","4.5082545539612524E223",,"false","PLIN3"
"8141","23","SSR4","2.6167693531570435E224","0.12","false","SSR4"
"8143","1","TRIM3","2.0929171549380665E226",,"false","TRIM3"
"8148","215","TOR1A","4.601387712845028E223","0.457372279813139","false","TOR1A"
"8149","215","CNIH4","4.601387712845028E223",,"false","CNIH4"
"8152","5","PDE4DIP","3.83226726028144E224",,"false","PDE4DIP"
"8159","251","SNAP29","3.9624899444488063E223","0.360542883744161","false","SNAP29"
"8160","3","STX3","8.348944492574958E224","0.12027144187208","false","STX3"
"8163","238","LIN54","1.5835631599505404E223",,"false","LIN54"
"8165","7","MED31","5.035829618800717E224",,"false","MED31"
"8167","1","TRIM68","2.0929171549380665E226",,"false","TRIM68"
"8169","1","APOD","2.0929171549380665E226","0.12","false","APOD"
"8171","8","SOX9","5.224046475532716E224","0.12027144187208","false","SOX9"
"8175","341","CHP1","1.5835631599505404E223","0.12","false","CHP1"
"8176","341","STK17B","1.5835631599505404E223",,"false","STK17B"
"8181","20","SNRPD1","2.0522470504721107E224",,"false","SNRPD1"
"8186","158","PAG1","3.1814544981908906E223","0.12","false","PAG1"
"8188","538","SLC22A4","1.5991812626161195E223","0.122367031978602","false","SLC22A4"
"8189","538","PDZK1","1.5991812626161195E223","0.12","false","PDZK1"
"8195","126","BRINP1","4.781925685182778E223","0.124734063957204","false","BRINP1"
"8196","1","SMPDL3A","2.0929171549380665E226","0.12","false","SMPDL3A"
"8198","21","CDK16","2.775792258181458E224",,"false","CDK16"
"8201","1","BCL3","2.0929171549380665E226",,"false","BCL3"
"8203","92","TNRC6A","5.381116455269433E223",,"false","TNRC6A"
"8205","1","PROS1","2.0929171549380665E226","0.12","false","PROS1"
"8207","1","CTNND2","2.0929171549380665E226","0.12","false","CTNND2"
"8214","1","CXCR3","2.0929171549380665E226","0.12027144187208","false","CXCR3"
"8216","132","NXT1","6.341416728947067E223",,"false","NXT1"
"8221","1","TOX4","2.0929171549380665E226",,"false","TOX4"
"8223","12","POM121","5.549076750573934E224",,"false","POM121"
"8225","1","SART3","2.0929171549380665E226","0.240542883744161","false","SART3"
"8229","1","CBR1","2.0929171549380665E226","0.120542883744161","false","CBR1"
"8231","48","TRPC4AP","8.187116059936473E223",,"false","TRPC4AP"
"8235","176","PARP2","2.3753447399258106E223","0.12","false","PARP2"
"8237","345","VTI1A","3.9624899444488063E223","0.120542883744161","false","VTI1A"
"8238","345","STX16","3.9624899444488063E223","0.12","false","STX16"
"8242","1","SIK3","2.0929171549380665E226",,"false","SIK3"
"8244","50","GNG10","7.923524898850948E223",,"false","GNG10"
"8250","1","TCF4","2.0929171549380665E226","0.12027144187208","false","TCF4"
"8252","40","INTS12","9.557188379131114E223","0.122367031978602","false","INTS12"
"8254","1","CD79B","2.0929171549380665E226","0.36","false","CD79B"
"8256","1","BAIAP2L1","2.0929171549380665E226","0.12","false","BAIAP2L1"
"8258","52","ASB12","3.1689173421873056E223",,"false","ASB12"
"8261","23","CBWD2","2.6167693531570435E224",,"false","CBWD2"
"8263","1","KLF6","2.0929171549380665E226","0.247458414199671","false","KLF6"
"8265","7","DERA","5.035829618800717E224","0.12","false","DERA"
"8267","1","PACS1","2.0929171549380665E226","0.36","false","PACS1"
"8268","1","CLCN7","2.0929171549380665E226","0.32","false","CLCN7"
"8271","1","RAD18","2.0929171549380665E226",,"false","RAD18"
"8273","1","BRDT","2.0929171549380665E226",,"false","BRDT"
"8278","1","DAZAP2","2.0929171549380665E226",,"false","DAZAP2"
"8279","1","FAM46B","2.0929171549380665E226",,"false","FAM46B"
"8287","1","OLFM1","2.0929171549380665E226","0.12","false","OLFM1"
"8292","1","PARP9","2.0929171549380665E226",,"false","PARP9"
"8293","1","DTX3L","2.0929171549380665E226",,"false","DTX3L"
"8295","1","ELAVL3","2.0929171549380665E226","0.12","false","ELAVL3"
"8301","1","RPA2","2.0929171549380665E226",,"false","RPA2"
"8303","1","ROCK1","2.0929171549380665E226",,"false","ROCK1"
"8305","39","RNF186","8.095397955186227E223","0.129739569786488","false","RNF186"
"8308","1","UBE2A","2.0929171549380665E226","0.36","false","UBE2A"
"8309","1","RNF20","2.0929171549380665E226",,"false","RNF20"
"8313","1","ADRB2","2.0929171549380665E226","0.122909915722763","false","ADRB2"
"8319","124","SHANK1","7.126034219777431E223","0.12","false","SHANK1"
"8321","12","MBD5","5.549076750573934E224","0.44","false","MBD5"
"8323","1","RAPGEF2","2.0929171549380665E226",,"false","RAPGEF2"
"8324","237","RAP2B","2.382508829070722E223",,"false","RAP2B"
"8329","3","GOSR2","8.348944492574958E224","0.36","false","GOSR2"
"8335","13","SHROOM3","4.514873988401246E224","0.120814325616241","false","SHROOM3"
"8341","43","PLXNA1","1.3390431060242612E224",,"false","PLXNA1"
"8344","1","GRB10","2.0929171549380665E226","0.12","false","GRB10"
"8346","65","EIF2B2","1.4819325316502024E224","0.362985860592883","false","EIF2B2"
"8349","101","DGKE","9.506752026561922E223","0.36","false","DGKE"
"8352","392","ZDHHC17","3.1671263199010803E223",,"false","ZDHHC17"
"8357","1","MBD2","2.0929171549380665E226","0.12","false","MBD2"
"8365","537","GUCA1B","1.5835631599505404E223","0.24","false","GUCA1B"
"8366","537","GUCY2F","1.5835631599505404E223",,"false","GUCY2F"
"8368","1","PRKAA1","2.0929171549380665E226","0.12","false","PRKAA1"
"8370","77","CKS1B","3.958907899876351E223",,"false","CKS1B"
"8372","1","PTCH2","2.0929171549380665E226","0.12","false","PTCH2"
"8374","216","TMED10","4.75964459128275E223",,"false","TMED10"
"8375","216","PSENEN","4.75964459128275E223","0.12","false","PSENEN"
"8380","2","CNTN1","9.072601897712698E224","0.44","false","CNTN1"
"8382","88","LAMTOR5","4.750689479851621E223","0.12","false","LAMTOR5"
"8385","3","F7","8.348944492574958E224","0.125091382221069","false","F7"
"8386","1","F9","2.0929171549380665E226","0.36","false","F9"
