gene	rank
GPR119	171
DNAJB3	171
CDK17	171
TRIAP1	171
NR2C2AP	171
URB2	171
OR2T35	171
ALDH3B1	171
PCP2	171
DPCD	171
PGM2	171
OR5T1	171
NANP	171
ST6GALNAC4	171
MDP1	171
OR8D4	171
OR8H2	171
IL36B	171
AAMDC	171
YTHDF1	171
SNN	171
NETO1	171
NAP1L5	171
CMTM1	171
SERF1B	172
RSRP1	172
MKNK2	172
CSAG1	172
SRSF12	172
C16orf78	172
KIAA1841	172
OCEL1	172
MAPKAPK5	172
NOL4L	172
NSMCE4A	172
DAW1	172
YPEL2	172
SRSF8	172
CDKL3	172
CDC42EP3	172
OR6B3	172
RIMS4	172
C11orf52	172
NOVA1	172
ZNF514	172
LARP1	172
NSRP1	172
SCAF11	172
SPAG11B	172
SPANXN4	172
FBXO15	172
DUS1L	172
POLR2E	172
FGF12	172
ARGLU1	172
C18orf25	172
C11orf87	172
SRPK1	172
WDR55	172
MBNL3	172
DNAJC8	172
TAAR8	172
DDX47	172
C11orf63	172
MRPL43	172
TULP2	172
C6orf201	172
ARHGAP12	172
RBM23	172
FAM76B	172
