"SUID","__mclCluster","name","PRWP","PRWP_single","score","selected","shared name"
"9401","106","ZFP30","0.0","0.0",,"false","ZFP30"
"9400","21","ZDBF2","0.0","0.0",,"false","ZDBF2"
"9399","1190","AUNIP","0.0","0.0",,"false","AUNIP"
"9398","9","ZCCHC7","0.009718640500944417","0.0",,"false","ZCCHC7"
"9397","162","DOK5","0.09217810092937709","0.0",,"false","DOK5"
"9396","399","SULT4A1","0.0","0.0",,"false","SULT4A1"
"9395","1","NT5DC4","0.01739358257176837","0.0",,"false","NT5DC4"
"9394","77","RANBP3","0.0","0.0",,"false","RANBP3"
"9393","480","FRMD5","0.0","0.0",,"false","FRMD5"
"9392","754","NUTM2B","0.0","0.0",,"false","NUTM2B"
"9391","6","OR10G3","0.0438951746703632","0.0",,"false","OR10G3"
"9390","1137","SRMS","0.0","0.0",,"false","SRMS"
"9389","6","NETO1","0.0438951746703632","0.0",,"false","NETO1"
"9388","664","PNLIP","0.23619830290552404","0.0",,"false","PNLIP"
"9387","25","COL4A3BP","0.0","0.0",,"false","COL4A3BP"
"9386","673","RSPO3","0.0","0.0",,"false","RSPO3"
"9385","12","NBEAL2","0.08661806770180626","0.0",,"false","NBEAL2"
"9384","1271","ASB10","0.0","0.0",,"false","ASB10"
"9383","477","STEAP4","0.38635707971778943","0.44751798967702666","0.12","false","STEAP4"
"9382","145","ELOVL1","0.0","0.0",,"false","ELOVL1"
"9381","21","TSHZ3","0.0","0.0",,"false","TSHZ3"
"9380","450","FAM193B","0.0","0.0",,"false","FAM193B"
"9379","106","EARS2","0.0","0.0",,"false","EARS2"
"9378","22","APAF1","0.08881260469892026","0.0",,"false","APAF1"
"9377","100","GLIPR2","0.06584150066384079","0.0",,"false","GLIPR2"
"9376","174","NFE2L3","0.0","0.0",,"false","NFE2L3"
"9375","6","OVOL2","0.0438951746703632","0.0",,"false","OVOL2"
"9374","6","GSTA4","0.0438951746703632","0.0",,"false","GSTA4"
