__mclCluster	name
424.0	TGFB1I1
424.0	CRKL
425.0	MEF2A
425.0	TEAD1
32.0	CDC42BPA
422.0	PROS1
353.0	XRCC5
15.0	SATB1
132.0	TAF3
-1	BMI1
2.0	MAPT
2.0	FYN
-1	PSMB10
22.0	BCL6
426.0	PAAF1
427.0	PICK1
427.0	EPHB2
428.0	SHANK2
428.0	SSTR2
429.0	GPAA1
429.0	PIGT
133.0	LBR
39.0	IRS2
52.0	LATS1
52.0	MOB1B
232.0	PER2
4.0	FAF2
-1	FOS
101.0	STX2
101.0	STXBP2
430.0	ITGB1
430.0	ITGB1BP2
27.0	CXCL8
310.0	RNF4
-1	TCP1
431.0	AURKA
431.0	INCENP
432.0	FER
134.0	PMAIP1
48.0	TAF6
433.0	PLEC
433.0	SPTAN1
434.0	CDKN1B
434.0	CKS1B
-1	APAF1
435.0	EIF2B2
-1	STX5
436.0	GOSR2
-1	MORF4L1
-1	TAF9
-1	TAF13
437.0	LIMK1
437.0	ROCK1
438.0	SNRNP200
-1	MCM3
-1	STAT1
323.0	TCF4
12.0	GNG10
439.0	PSTPIP1
439.0	FASLG
1.0	TRPC4AP
234.0	PARP1
23.0	AGO4
23.0	TNRC6A
61.0	PTGIR
43.0	RPL19
43.0	RPL23A
440.0	POLI
440.0	POLH
18.0	SOX9
-1	LIN54
441.0	CASK
441.0	KCNJ4
-1	NRIP1
85.0	LCK
13.0	TRIM17
29.0	RPS9
442.0	CAPZB
442.0	CAPZA1
-1	ASAP2
390.0	PSMD14
-1	PSMD4
15.0	SUMO1
15.0	SART1
361.0	NCAPG
50.0	PTPRC
135.0	ASB1
3.0	SUDS3
21.0	MED17
-1	RBL2
443.0	ATG16L1
443.0	ATG12
159.0	HIST3H3
-1	MED26
136.0	SEH1L
444.0	MARCKS
131.0	AXIN1
445.0	GC
445.0	ACTC1
435.0	EIF2B3
55.0	POLR3B
44.0	THOC1
25.0	IARS
175.0	PALB2
53.0	UCHL5
137.0	AP3S1
446.0	TRAF5
446.0	TNFRSF8
447.0	EIF3M
-1	ERBB3
-1	RPS20
119.0	CALR
119.0	HLA-E
30.0	TRIM32
-1	ACTR2
109.0	ATRIP
109.0	RPA1
-1	NCAPD2
26.0	OCRL
69.0	BAG1
448.0	SMAD1
448.0	WWP1
16.0	CDH1
-1	TCF3
11.0	NCL
375.0	NCK1
24.0	SSRP1
399.0	SMARCA2
64.0	CUL3
296.0	CASP8
241.0	PRPF8
5.0	ERCC6
27.0	PZP
27.0	MMP9
55.0	POLR3A
213.0	SMC3
-1	PML
106.0	MED10
106.0	CCNC
-1	CDK7
60.0	LSM6
449.0	CAMK4
449.0	CAMKK2
31.0	SETD7
