clusters	score	genes
68	0.197084785419	SOX18:0.0,FOXA3:0.0,CUX1:1.0,ZFP36:0.0,HOXB3:0.0,HMGB1:0.0,PPP2R3A:0.0,PBX1:1.0,FOXC1:0.0,MAD1L1:0.0,HOXD11:1.0,ATOH1:0.0,HOXC6:0.0,MNT:0.0,ERF:0.0,NEUROD6:0.0,RFX1:0.0,HOXD10:0.0
57	0.196576346591	IWS1:0.0,POLR2D:0.0,POLR2G:0.0,EHBP1L1:0.0,UVSSA:0.0,UBN1:0.0,MEIG1:0.0,SETD2:1.0,POLR2A:0.0,POLR2H:0.0,CTDSP2:0.0,POLR2J:0.0,GTF2E1:0.0,HIRA:0.0,ERCC3:1.0,GTF2A2:0.0,POLR2B:0.0,TFG:1.0,ERCC6:0.0,ATF7IP:0.0
294	0.195860189906	EZR:1.0,UBR7:0.0,FKBP9:0.0,GTF3C4:0.0,LIMD1:0.0,CROCC:0.0
560	0.193748907917	IL19:0.0,IL20RB:0.0,IL24:0.0,RUNX1T1:1.0
679	0.190657322461	PCF11:0.0,CRYBB3:0.0,SRRM1:0.0
506	0.190548302776	KRT33B:0.0,EFHD1:0.0,FBXO11:1.0,TCHH:0.0
202	0.188694590574	NOX1:0.0,RFK:0.0,CARD9:0.0,CYBA:0.0,NOXO1:0.0,TNFRSF1A:0.0,PRKAR2B:0.0,CNTRL:1.0
361	0.188619932833	ENO1:0.0,ZBTB44:0.0,ARID1B:1.0,GLIS3:0.0,TEAD1:0.0,LONRF3:0.0
476	0.187428040304	PRF1:1.0,FHL3:0.0,CNNM3:0.0,KLF3:0.0,SRGN:0.0
180	0.187123625113	KCNJ3:0.0,ADRB2:0.0,TMUB1:0.0,RAB18:0.0,HTR4:0.0,IDH3A:0.0,ETFB:0.0,KCNJ5:1.0,GNG12:0.0
494	0.185766642196	USO1:0.0,SEC22A:0.0,CEP68:0.0,TRIP11:1.0
80	0.184725892573	NF1:1.0,GUCY1A3:0.0,CST9:0.0,DHX58:0.0,CTBS:0.0,GUCY1B3:0.0,GPR18:0.0,CST5:0.0,CHRNA1:0.0,ETV6:1.0,CD74:1.0,CHST11:0.0,CDKN2AIP:0.0,LY86:0.0,BANK1:0.0,IRF8:0.0
240	0.184372367774	PPP4R3A:0.0,NOL10:0.0,DNTTIP2:0.0,NEXN:0.0,NELL1:0.0,ATRAID:0.0,SLTM:1.0
703	0.184267479148	ATG16L2:0.0,FKBP8:0.0,CHUK:0.0
1030	0.183281443477	SNW1:0.0,PGR:0.0
374	0.181313186887	TRAIP:0.0,FCRL3:0.0,CLEC1B:0.0,CD72:0.0,SYK:1.0
479	0.181259766652	ZNF606:0.0,SPICE1:0.0,TRRAP:1.0,ESRRA:0.0,C2CD5:0.0
172	0.180753921298	REXO1:0.0,LHX4:0.0,TCEB3:0.0,FUBP3:0.0,RLIM:0.0,SSBP4:0.0,LHX1:0.0,ISL1:0.0,SSX1:1.0
370	0.179533444935	KRT31:0.0,KRT32:0.0,IPPK:0.0,CDK12:1.0,KRTAP9-3:0.0
130	0.17865275311	TXNRD2:0.0,DLX2:0.0,NCOR2:1.0,OPN1LW:0.0,PPFIA4:0.0,KLRC3:0.0,SLC30A9:0.0,NCOA2:1.0,MSX1:0.0,DLX5:0.0,NR5A2:0.0
474	0.175896827612	HEMGN:0.0,NPM1:1.0,FAM129A:0.0,FOXK1:0.0,PELP1:0.0
525	0.174535037524	TMEM67:0.0,DMKN:0.0,HSPA6:0.0,HSPA5:0.0
698	0.173839799141	IPO4:0.0,RBBP7:0.0,ADSS:0.0
442	0.171855598611	FRMD4A:0.0,BRD3:1.0,CPNE4:0.0,YEATS4:0.0,CEP162:0.0
477	0.171828265228	STEAP4:0.0,DDX51:0.0,SLC7A11:0.0,TERT:1.0,ACD:0.0
1004	0.169621303633	MMP14:0.0,MMP13:0.0
332	0.169192380898	ZNF580:0.0,PAX9:0.0,HMG20B:0.0,SSX4B:1.0,TRAF1:0.0,ZNF440:0.0
671	0.1689239432	PCDH12:0.0,FSD2:0.0,CHAMP1:0.0,MYBPC2:0.0
428	0.168129640589	PARG:0.0,PARP10:0.0,PARP1:0.0,OARD1:0.0,POLB:0.0
127	0.167644414188	SETD1B:0.0,WDR53:0.0,ASCL2:0.0,PAGR1:0.0,YEATS2:0.0,KMT2B:0.0,KMT2C:1.0,WDR82:0.0,MOXD1:0.0,WDR5:0.0,WDR5B:0.0
75	0.167518282752	PPM1F:0.0,PTGER4:0.0,ALS2CR12:0.0,STAP2:0.0,FEM1A:0.0,LCT:0.0,ZNF658B:0.0,SH2D2A:0.0,ADGRE5:0.0,OCLN:0.0,RHOQ:0.0,KCNQ5:0.0,SRC:0.0,LCP2:0.0,FHIT:1.0,CENPV:0.0,TXK:0.0
1264	0.165468371491	TINF2:0.0,TOP3A:0.0
326	0.163906661265	IGFBP1:0.0,ADH6:0.0,HNF1A:1.0,RYR3:0.0,TBCA:0.0,DLEU1:0.0
