rank	test biomarkers	test candidates	remaining biomarkers	remaining candidates
658	-	KHDRBS3	SERPINB5,SYNJ2	TM2D2,FAM168B,PPP4R4,ERC1,CD58,MYO1D,ZNF321P,STAC,HABP2,CT55,TPK1,NLRX1,TMEM159,ZNF747,PRICKLE2,CCDC107,HAUS6,VPS37C,OR4D6,CDCA7,ANKS6,TMEM59,FAM160B1,IFNA16,NDUFA4,PCCA,COL4A3BP,CHRDL1,DFFB,FAM69A,PARP2,GRAMD1C,ZHX2,CACFD1,PRSS21,KDELR2,TUFM
681	-	KIAA0907	-	ZNF35,CDC5L,PLRG1,SCAF8,USB1
687	-	ENTPD1	-	RANBP1
692	-	GSTA4,ABAT	ANXA1,ADI1,GSTM3,NQO1,SLC7A1	HSPA2,ZCCHC14,MIA,GLRX2,GLRX3,LAPTM5,GCM1,TMEM174,DUSP23,S100A14,TMED10,CCDC88C,URB2,IL36B,SPIN1,FAM84A,SSH2,MACROD1,SLC35E3,PRRG2,SNN,GPR119,NETO1,STARD7,ALG1,EDC3,YTHDF1,GSKIP,CDK17,EIF5A,ZNF451,NR2C2AP,TRIAP1,AHSA1,ANXA10,DPCD,RCN1,TMEM92,PGM2,OR8D4,C21orf59,OR5T1,AAMDC,TTC32,EIF4EBP2,RTFDC1,ZNF428,SOAT2,BAG3,SH3YL1,OR10G3,LAP3,WBSCR28,DOHH,AKR1C4,ANKRD39,CCDC186,COASY,DNAJB3,DNAJB4,TMEM207,OR2T35,S100A1,PBLD,LYZL4,GALE,ENO2,NDP,ANKS1A,CAPZA1,TSTA3,PAIP2,AGPAT1,LPAR4,EFHD2,TMEM252,C1QTNF7,RAB2B,OVOL2,S100G,APOPT1,VPS37B,PLOD1,NAP1L5,CDCA3,CDCA4,NANP,PSMC3,HSPB6,ALDH3B1,PSME1,ATG4B,PIGV,ST6GALNAC4,MDP1,OR8H2,CA3,FAM118A,PCP2,CMTM1
726	-	EHHADH	ASZ1	TSG101,PHPT1,MVB12A,NELFCD,VRK3,FDPS,RAB11FIP4,SMARCC2,VPS37D,ARRDC1,ORC1,PIGQ,KCNN4,SH2D3A,MVB12B,DCTN2,DSG1,NT5DC2,IMMT,RAB11FIP3,ABCB6
731	-	GMNN,HOXB7	-	HOXA7,PHC1,MCIDAS
736	-	COL4A1	-	COL16A1,SAA4,COL2A1,COCH
772	-	CES1,SHMT2	FXYD3,ARL6IP1	FXYD6,DOLK,LMBR1L,PTDSS1,FAM3A,P4HA2,SLC29A2,SLC29A1,SEC61G,PSENEN,ZNF599,TMEM115,SLC50A1,S100B,TIMM17B,APH1B,APH1A,TMEM100,TMEM14C,TMEM14A,RPRM,CYB561,TMEM19,VKORC1,TM4SF4,GAD1,ICAM4,LPCAT2,SACM1L,ALG3,CREBRF,CNPY3,UNC50,SLC30A2,PLLP,RIMS3,PLPP1,PNLIPRP1,C17orf62,AQP5,TRIM32,DNAJC30,ACSF2,CLCN7,LILRB5,CGRRF1,BTN2A2,PTPN9,RAB23,TSPAN4,TMEM140,ZDHHC21,CREB3,SCGB1A1,CTSW,STK32C,SLC41A3,SCLY,ADTRP,ORMDL1,SYNGR1,SLC35C2,TMEM230,ACSL5,KRTCAP2,C16orf58,CREB3L1,AGPAT3,USE1,SPOCK3,TMEM234,CELA3A,TMEM51,TIMM23,SLC19A3,CMTM5
778	-	BUB1B	-	DNAJB8,HDAC5,HDAC4,RFX5,AHRR,IKZF4,ANKRD11,ANKRA2,RFXAP,ZNF354A
836	-	MYBL2	-	LIN37,LIN52
